Straßennetzdichte in Gebietsfläche (2011)
lfd. Nr.;Gebietsschlüssel;Gebietsname;Wert km/km²
303;09187;Rosenheim (Landkreis);2,0 
304;13072;Rostock;1,1 
305;13003;Rostock (Landkreis);3,5 
306;03357;Rotenburg (Wümme);1,2 
307;09576;Roth;2,0 
308;09277;Rottal-Inn;2,1 
309;08325;Rottweil;2,2 
310;16074;Saale-Holzland-Kreis;1,6 
311;16075;Saale-Orla-Kreis;1,4 
312;15088;Saalekreis;1,6 
313;16073;Saalfeld-Rudolstadt;1,4 
314;10044;Saarlouis;3,1 
315;10045;Saarpfalz-Kreis;2,6 
316;03102;Salzgitter;2,7 
317;15089;Salzlandkreis;1,6 
318;03257;Schaumburg;2,3 
319;01059;Schleswig-Flensburg;1,2 
320;16066;Schmalkalden-Meiningen;1,4 
321;09565;Schwabach;5,3 
322;06634;Schwalm-Eder-Kreis;1,7 
323;09376;Schwandorf;1,9 
324;08326;Schwarzwald-Baar-Kreis;2,1 
325;09662;Schweinfurt;6,9 
326;09678;Schweinfurt (Landkreis);1,8 
327;13004;Schwerin;2,8 
328;08127;Schwäbisch Hall;2,1 
329;01060;Segeberg;1,5 
330;05970;Siegen-Wittgenstein;2,1 
331;08437;Sigmaringen;1,7 
332;05974;Soest;2,2 
333;05122;Solingen;5,9 
334;16072;Sonneberg;1,5 
335;07318;Speyer;5,2 
336;12071;Spree-Neiße;1,2 
337;10046;St. Wendel;2,3 
338;03359;Stade;1,4 
339;09188;Starnberg;2,2 
340;01061;Steinburg;1,3 
341;05566;Steinfurt;2,1 
342;15090;Stendal;0,7 
343;01062;Stormarn;2,0 
344;09263;Straubing;4,1 
345;09278;Straubing-Bogen;2,0 
346;08111;Stuttgart;7,3 
347;05334;Städteregion Aachen;3,4 
348;16054;Suhl;2,3 
349;14628;Sächsische Schweiz-Osterzgebirge;1,7 
350;16068;Sömmerda;1,2 
351;07337;Südliche Weinstraße;1,7 
352;07340;Südwestpfalz;1,4 
353;12072;Teltow-Fläming;1,1 
354;09377;Tirschenreuth;1,4 
355;09189;Traunstein;1,6 
356;07211;Trier;3,7 
357;07235;Trier-Saarburg;1,8 
358;08327;Tuttlingen;1,9 
359;08416;Tübingen;2,7 
360;12073;Uckermark;0,8 
361;03360;Uelzen;1,1 
362;08421;Ulm;4,4 
363;05978;Unna;3,8 
364;16064;Unstrut-Hainich-Kreis;1,2 
365;09778;Unterallgäu;1,9 
366;03460;Vechta;2,4 
367;03361;Verden;1,7 
368;05166;Viersen;3,0 
369;06535;Vogelsbergkreis;1,3 
370;14523;Vogtlandkreis;2,1 
371;13075;Vorpommern-Greifswald;1,0 
372;13073;Vorpommern-Rügen;1,1 
373;07233;Vulkaneifel;1,5 
374;06635;Waldeck-Frankenberg;1,4 
375;08337;Waldshut;2,1 
376;05570;Warendorf;1,7 
377;16063;Wartburgkreis;1,4 
378;09363;Weiden i.d. OPf.;4,3 
379;09190;Weilheim-Schongau;1,5 
380;16055;Weimar;3,4 
381;16071;Weimarer Land;1,5 
382;09577;Weißenburg-Gunzenhausen;1,7 
383;06636;Werra-Meißner-Kreis;1,4 
384;05170;Wesel;2,5 
385;03461;Wesermarsch;1,6 
386;07143;Westerwaldkreis;2,4 
387;06440;Wetteraukreis;2,0 
388;06414;Wiesbaden;4,4 
389;03405;Wilhelmshaven;3,9 
390;15091;Wittenberg;1,1 
391;03462;Wittmund;2,1 
392;03158;Wolfenbüttel;1,7 
393;03103;Wolfsburg;2,8 
394;07319;Worms;3,9 
395;09479;Wunsiedel i. Fichtelgebirge;1,8 
396;05124;Wuppertal;6,2 
397;09663;Würzburg;6,4 
398;09679;Würzburg (Landkreis);1,8 
399;08417;Zollernalbkreis;2,3 
400;07320;Zweibrücken;3,5 
401;14524;Zwickau;2,8 
;;Deutschland;1,9 
